text,label
"It is said that Qatar wants to withdraw from the oil output country, which is the chain reaction of Chuanpu returns group and the world's order and pattern reconstruction.It should be a good thing to oil consumer countries",0
I didn't get up in the morning to see the meeting with Kawu in Argentina.There is not much time for the Chinese national football team.Only 90 days.,1
"In the face of Canada and the United States, China can also (without any reason) to put Canada and (or) Americans, first grab a few more and more concerned, will not even do things, do not even do things, don't dare to do it?There is a passive defense, it is better to take the initiative, do not do goalkeepers, to do brave shooters ...",0
"If Trump announces that the United States exports 10% of the US commodities to 200 billion Chinese goods, not 25% tariff, that is, if the tax rate is lower than expected, is this boot to strengthen the expectation?How will the market respond?",1
When can the two daydreams can publicize anti-rape like a drug-making anti-drug?,0
"Tianjin Daily Tianjin Daily, as a national enterprise, using the eight fish P2P to defraud 10,000 people's hard-earned money, and finally use the pot, force threatens to suppress, threatened, and stronger, I don't know how long this Weibo will beHarmony, but I expect that some people can come up with our master.",1
"China is a magical country.On the one hand, it is also universal value in debate human rights, but it must be discussed to discuss the fundamental principles of transgenic people also enjoy the same human rights.The front modernity and super futurus coexist, and I am very energetic.",1
"""Tian Dynasty Standard Men Tanjian"" was harmonious, I feel normally.If it is ""Tianchao Slag Female Tasting"" and then the content is killed, the same will be sealed, this is really nothing to do with the disclosure of the slag male, but it is related to the content.This paragraph is only part of the drama, which is introduced why women are joined.The whole drama is not only for men, but ironically this society.",1
"The motherland has been shown in the world's first in the world. The World Intellectual Property Report announced in the World Intellectual Property Organization (WIPO) on the 3rd.China's application has reached 1.38 million, accounting for more than 4% of the overall, and the first place in 7 consecutive years.The number of trademark rights, the number of design rights is also the head of China.",0
"Chuanp is not terrible, terrible is Xiaoping.Zhou Xiaoping, Wu Xiaoping, Qiu Xiaoping, you tarnished the two words ""Xiaoping"", and the second remarks of the threatening of the people, more than trillion saves!",1
